raster,label
H:/HOTR_models/PARC_norm/bd.tif,bd
H:/HOTR_models/PARC_norm/clay.tif,clay
H:/HOTR_models/PARC_norm/DEM.tif,DEM
H:/HOTR_models/PARC_norm/distToNon.tif,distToNon
H:/HOTR_models/PARC_norm/GDD0.tif,GDD0
H:/HOTR_models/PARC_norm/GDD5.tif,GDD5
H:/HOTR_models/PARC_norm/hab_nonpch.tif,hab_nonpch
H:/HOTR_models/PARC_norm/nlcd_patch.tif,nlcd_patch
H:/HOTR_models/PARC_norm/om.tif,om
H:/HOTR_models/PARC_norm/PET.tif,PET
H:/HOTR_models/PARC_norm/ph.tif,ph
H:/HOTR_models/PARC_norm/ppt_sf.tif,ppt_sf
H:/HOTR_models/PARC_norm/ppt_ws.tif,ppt_ws
H:/HOTR_models/PARC_norm/ppt_yrly.tif,ppt_yrly
H:/HOTR_models/PARC_norm/sand.tif,sand
H:/HOTR_models/PARC_norm/slope.tif,slope
H:/HOTR_models/PARC_norm/tmax.tif,tmax
H:/HOTR_models/PARC_norm/TRI.tif,TRI
H:/HOTR_models/PARC_norm/TWI_orig.tif,TWI
H:/HOTR_models/PARC/grass_shrub_vs_non.tif,hab_non
H:/HOTR_models/PARC/HOTR_Eastness.tif,eastness
H:/HOTR_models/PARC/HOTR_Northness.tif,northness
H:/HOTR_models/PARC/nlcd_crop.tif,nlcd.Cropland
H:/HOTR_models/PARC/nlcd_developed.tif,nlcd.Developed
H:/HOTR_models/PARC/nlcd_developen.tif,nlcd.DevelOpen
H:/HOTR_models/PARC/nlcd_forest.tif,nlcd.Forest
H:/HOTR_models/PARC/nlcd_grassland.tif,nlcd.Grassland
H:/HOTR_models/PARC/nlcd_other.tif,nlcd.Other
H:/HOTR_models/PARC/nlcd_pasturehay.tif,nlcd.PastureHay
H:/HOTR_models/PARC/nlcd_shrubland.tif,nlcd.Shrubland
H:/HOTR_models/PARC/nlcd_water.tif,nlcd.Water
H:/HOTR_models/PARC/nlcd_wetland.tif,nlcd.Wetland
H:/HOTR_models/PARC/nlcd_lumped.tif,nlcd
